Devil7.0.SCAFFOLD,Devil7.1.SCAFFOLD,Chromosome,LENGTH,CHROMOSOME POSITION,GENOME POSITION
GL866812.1,Chr6_supercontig_000002088,6,4052,258517845,3084958815
GL866813.1,Chr6_supercontig_000002089,6,1853,258519698,3084960668
GL866814.1,Chr6_supercontig_000002090,6,1946,258521644,3084962614
GL866815.1,Chr6_supercontig_000002091,6,1827,258523471,3084964441
GL866816.1,Chr6_supercontig_000002092,6,3131,258526602,3084967572
GL866817.1,Chr6_supercontig_000002093,6,6498,258533100,3084974070
GL866818.1,Chr6_supercontig_000002094,6,4040,258537140,3084978110
GL866819.1,Chr6_supercontig_000002095,6,1623,258538763,3084979733
GL866820.1,Chr6_supercontig_000002096,6,5992,258544755,3084985725
GL866821.1,Chr6_supercontig_000002097,6,9499,258554254,3084995224
GL866822.1,Chr6_supercontig_000002098,6,2977,258557231,3084998201
GL866823.1,Chr6_supercontig_000002099,6,1780,258559011,3084999981
GL866824.1,Chr6_supercontig_000002100,6,1976,258560987,3085001957
GL866825.1,Chr6_supercontig_000002101,6,3054,258564041,3085005011
GL866826.1,Chr6_supercontig_000002102,6,1871,258565912,3085006882
GL866827.1,Chr6_supercontig_000002103,6,1873,258567785,3085008755
GL866828.1,Chr6_supercontig_000002104,6,1696,258569481,3085010451
GL866829.1,Chr6_supercontig_000002105,6,1539,258571020,3085011990
GL866830.1,Chr6_supercontig_000002106,6,5320,258576340,3085017310
GL866831.1,Chr6_supercontig_000002107,6,1734,258578074,3085019044
GL866832.1,Chr6_supercontig_000002108,6,2247,258580321,3085021291
GL866833.1,Chr6_supercontig_000002109,6,1703,258582024,3085022994
GL866834.1,Chr6_supercontig_000002110,6,1922,258583946,3085024916
GL866835.1,Chr6_supercontig_000002111,6,1727,258585673,3085026643
GL866836.1,Chr6_supercontig_000002112,6,5132,258590805,3085031775
GL866837.1,Chr6_supercontig_000002113,6,4847,258595652,3085036622
GL866838.1,Chr6_supercontig_000002114,6,3991,258599643,3085040613
GL866839.1,Chr6_supercontig_000002115,6,2068,258601711,3085042681
GL866840.1,Chr6_supercontig_000002116,6,1795,258603506,3085044476
GL866841.1,Chr6_supercontig_000002117,6,2168,258605674,3085046644
GL866842.1,Chr6_supercontig_000002118,6,1728,258607402,3085048372
GL866843.1,Chr6_supercontig_000002119,6,1548,258608950,3085049920
GL866844.1,Chr6_supercontig_000002120,6,4232,258613182,3085054152
GL866845.1,Chr6_supercontig_000002121,6,16573,258629755,3085070725
GL866846.1,Chr6_supercontig_000002122,6,2793,258632548,3085073518
GL866847.1,Chr6_supercontig_000002123,6,2759,258635307,3085076277
GL866848.1,Chr6_supercontig_000002124,6,3160,258638467,3085079437
GL866849.1,Chr6_supercontig_000002125,6,2466,258640933,3085081903
GL866850.1,Chr6_supercontig_000002126,6,1997,258642930,3085083900
GL866851.1,Chr6_supercontig_000002127,6,1687,258644617,3085085587
GL866852.1,Chr6_supercontig_000002128,6,2698,258647315,3085088285
GL866853.1,Chr6_supercontig_000002129,6,3296,258650611,3085091581
GL866854.1,Chr6_supercontig_000002130,6,6908,258657519,3085098489
GL866855.1,Chr6_supercontig_000002131,6,7308,258664827,3085105797
GL866856.1,Chr6_supercontig_000002132,6,6974,258671801,3085112771
GL866857.1,Chr6_supercontig_000002133,6,2057,258673858,3085114828
GL866858.1,Chr6_supercontig_000002134,6,1557,258675415,3085116385
GL866859.1,Chr6_supercontig_000002135,6,2159,258677574,3085118544
GL866860.1,Chr6_supercontig_000002136,6,2364,258679938,3085120908
GL866861.1,Chr6_supercontig_000002137,6,12966,258692904,3085133874
GL866862.1,Chr6_supercontig_000002138,6,17361,258710265,3085151235
GL866863.1,Chr6_supercontig_000002139,6,2949,258713214,3085154184
GL866864.1,Chr6_supercontig_000002140,6,1729,258714943,3085155913
GL866865.1,Chr6_supercontig_000002141,6,3643,258718586,3085159556
GL866866.1,Chr6_supercontig_000002142,6,1791,258720377,3085161347
GL866867.1,Chr6_supercontig_000002143,6,2722,258723099,3085164069
GL866868.1,Chr6_supercontig_000002144,6,5253,258728352,3085169322
GL866869.1,Chr6_supercontig_000002145,6,1534,258729886,3085170856
GL866870.1,Chr6_supercontig_000002146,6,2735,258732621,3085173591
GL866871.1,Chr6_supercontig_000002147,6,2176,258734797,3085175767
GL866872.1,Chr6_supercontig_000002148,6,3390,258738187,3085179157
GL866873.1,Chr6_supercontig_000002149,6,1833,258740020,3085180990
GL866874.1,Chr6_supercontig_000002150,6,6124,258746144,3085187114
GL866875.1,Chr6_supercontig_000002151,6,2230,258748374,3085189344
GL866876.1,Chr6_supercontig_000002152,6,1836,258750210,3085191180
GL866877.1,Chr6_supercontig_000002153,6,1872,258752082,3085193052
GL866878.1,Chr6_supercontig_000002154,6,1677,258753759,3085194729
GL866879.1,Chr6_supercontig_000002155,6,1960,258755719,3085196689
GL866880.1,Chr6_supercontig_000002156,6,4363,258760082,3085201052
GL866881.1,Chr6_supercontig_000002157,6,4608,258764690,3085205660
GL866882.1,Chr6_supercontig_000002158,6,2016,258766706,3085207676
GL866883.1,Chr6_supercontig_000002159,6,1511,258768217,3085209187
GL866884.1,Chr6_supercontig_000002160,6,2697,258770914,3085211884
GL866885.1,Chr6_supercontig_000002161,6,2367,258773281,3085214251
GL866886.1,Chr6_supercontig_000002162,6,2418,258775699,3085216669
GL866887.1,Chr6_supercontig_000002163,6,1592,258777291,3085218261
GL866888.1,Chr6_supercontig_000002164,6,3334,258780625,3085221595
GL866889.1,Chr6_supercontig_000002165,6,2932,258783557,3085224527
GL866890.1,Chr6_supercontig_000002166,6,1807,258785364,3085226334
GL866891.1,Chr6_supercontig_000002167,6,4112,258789476,3085230446
GL866892.1,Chr6_supercontig_000002168,6,2067,258791543,3085232513
GL866893.1,Chr6_supercontig_000002169,6,1912,258793455,3085234425
GL866894.1,Chr6_supercontig_000002170,6,4488,258797943,3085238913
GL866895.1,Chr6_supercontig_000002171,6,5710,258803653,3085244623
GL866896.1,Chr6_supercontig_000002172,6,1951,258805604,3085246574
GL866897.1,Chr6_supercontig_000002173,6,2453,258808057,3085249027
GL866898.1,Chr6_supercontig_000002174,6,2922,258810979,3085251949
GL866899.1,Chr6_supercontig_000002175,6,1780,258812759,3085253729
GL866900.1,Chr6_supercontig_000002176,6,2938,258815697,3085256667
GL866901.1,Chr6_supercontig_000002177,6,2825,258818522,3085259492
GL866902.1,Chr6_supercontig_000002178,6,1760,258820282,3085261252
GL866903.1,Chr6_supercontig_000002179,6,1737,258822019,3085262989
GL866904.1,Chr6_supercontig_000002180,6,1550,258823569,3085264539
GL866905.1,Chr6_supercontig_000002181,6,4257,258827826,3085268796
GL866906.1,Chr6_supercontig_000002182,6,2430,258830256,3085271226
GL866907.1,Chr6_supercontig_000002183,6,1627,258831883,3085272853
GL866908.1,Chr6_supercontig_000002184,6,2794,258834677,3085275647
GL866909.1,Chr6_supercontig_000002185,6,2591,258837268,3085278238
GL866910.1,Chr6_supercontig_000002186,6,22268,258859536,3085300506
GL866911.1,Chr6_supercontig_000002187,6,1708,258861244,3085302214
GL866912.1,Chr6_supercontig_000002188,6,1839,258863083,3085304053
GL866913.1,Chr6_supercontig_000002189,6,2728,258865811,3085306781
GL866914.1,Chr6_supercontig_000002190,6,3498,258869309,3085310279
GL866915.1,Chr6_supercontig_000002191,6,9879,258879188,3085320158
GL866916.1,Chr6_supercontig_000002192,6,2643,258881831,3085322801
GL866917.1,Chr6_supercontig_000002193,6,2874,258884705,3085325675
GL866918.1,Chr6_supercontig_000002194,6,1679,258886384,3085327354
GL866919.1,Chr6_supercontig_000002195,6,1867,258888251,3085329221
GL866920.1,Chr6_supercontig_000002196,6,1992,258890243,3085331213
GL866921.1,Chr6_supercontig_000002197,6,24499,258914742,3085355712
GL866922.1,Chr6_supercontig_000002198,6,2057,258916799,3085357769
GL866923.1,Chr6_supercontig_000002199,6,2226,258919025,3085359995
GL866924.1,Chr6_supercontig_000002200,6,1945,258920970,3085361940
GL866925.1,Chr6_supercontig_000002201,6,3065,258924035,3085365005
GL866926.1,Chr6_supercontig_000002202,6,4412,258928447,3085369417
GL866927.1,Chr6_supercontig_000002203,6,1517,258929964,3085370934
GL866928.1,Chr6_supercontig_000002204,6,1830,258931794,3085372764
GL866929.1,Chr6_supercontig_000002205,6,1794,258933588,3085374558
GL866930.1,Chr6_supercontig_000002206,6,2156,258935744,3085376714
GL866931.1,Chr6_supercontig_000002207,6,6289,258942033,3085383003
GL866932.1,Chr6_supercontig_000002208,6,2926,258944959,3085385929
GL866933.1,Chr6_supercontig_000002209,6,1804,258946763,3085387733
GL866934.1,Chr6_supercontig_000002210,6,2986,258949749,3085390719
GL866935.1,Chr6_supercontig_000002211,6,1839,258951588,3085392558
GL866936.1,Chr6_supercontig_000002212,6,1743,258953331,3085394301
GL866937.1,Chr6_supercontig_000002213,6,3225,258956556,3085397526
GL866938.1,Chr6_supercontig_000002214,6,2463,258959019,3085399989
GL866939.1,Chr6_supercontig_000002215,6,1647,258960666,3085401636
GL866940.1,Chr6_supercontig_000002216,6,2505,258963171,3085404141
GL866941.1,Chr6_supercontig_000002217,6,3585,258966756,3085407726
GL866942.1,Chr6_supercontig_000002218,6,4527,258971283,3085412253
GL866943.1,Chr6_supercontig_000002219,6,7622,258978905,3085419875
GL866944.1,Chr6_supercontig_000002220,6,3226,258982131,3085423101
GL866945.1,Chr6_supercontig_000002221,6,2003,258984134,3085425104
GL866946.1,Chr6_supercontig_000002222,6,1968,258986102,3085427072
GL866947.1,Chr6_supercontig_000002223,6,3031,258989133,3085430103
GL866948.1,Chr6_supercontig_000002224,6,2027,258991160,3085432130
GL866949.1,Chr6_supercontig_000002225,6,1574,258992734,3085433704
GL866950.1,Chr6_supercontig_000002226,6,2214,258994948,3085435918
GL866951.1,Chr6_supercontig_000002227,6,5982,259000930,3085441900
GL866952.1,Chr6_supercontig_000002228,6,2387,259003317,3085444287
GL866953.1,Chr6_supercontig_000002229,6,1590,259004907,3085445877
GL866954.1,Chr6_supercontig_000002230,6,1877,259006784,3085447754
GL866955.1,Chr6_supercontig_000002231,6,1971,259008755,3085449725
GL866956.1,Chr6_supercontig_000002232,6,2025,259010780,3085451750
GL866957.1,Chr6_supercontig_000002233,6,3977,259014757,3085455727
GL866958.1,Chr6_supercontig_000002234,6,2102,259016859,3085457829
GL866959.1,Chr6_supercontig_000002235,6,2146,259019005,3085459975
GL866960.1,Chr6_supercontig_000002236,6,1566,259020571,3085461541
GL866961.1,Chr6_supercontig_000002237,6,2804,259023375,3085464345
GL866962.1,Chr6_supercontig_000002238,6,2243,259025618,3085466588
GL866963.1,Chr6_supercontig_000002239,6,5923,259031541,3085472511
GL866964.1,Chr6_supercontig_000002240,6,3375,259034916,3085475886
GL866965.1,Chr6_supercontig_000002241,6,3163,259038079,3085479049
GL866966.1,Chr6_supercontig_000002242,6,2443,259040522,3085481492
GL866967.1,Chr6_supercontig_000002243,6,1730,259042252,3085483222
GL866968.1,Chr6_supercontig_000002244,6,2015,259044267,3085485237
GL866969.1,Chr6_supercontig_000002245,6,4262,259048529,3085489499
GL866970.1,Chr6_supercontig_000002246,6,3385,259051914,3085492884
GL866971.1,Chr6_supercontig_000002247,6,1585,259053499,3085494469
GL866972.1,Chr6_supercontig_000002248,6,2076,259055575,3085496545
GL866973.1,Chr6_supercontig_000002249,6,1888,259057463,3085498433
GL866974.1,Chr6_supercontig_000002250,6,2009,259059472,3085500442
GL866975.1,Chr6_supercontig_000002251,6,2089,259061561,3085502531
GL866976.1,Chr6_supercontig_000002252,6,3161,259064722,3085505692
GL866977.1,Chr6_supercontig_000002253,6,5916,259070638,3085511608
GL866978.1,Chr6_supercontig_000002254,6,1648,259072286,3085513256
GL866979.1,Chr6_supercontig_000002255,6,1510,259073796,3085514766
GL866980.1,Chr6_supercontig_000002256,6,1596,259075392,3085516362
GL866981.1,Chr6_supercontig_000002257,6,2062,259077454,3085518424
GL866982.1,Chr6_supercontig_000002258,6,1746,259079200,3085520170
GL866983.1,Chr6_supercontig_000002259,6,1725,259080925,3085521895
GL866984.1,Chr6_supercontig_000002260,6,1722,259082647,3085523617
GL866985.1,Chr6_supercontig_000002261,6,2257,259084904,3085525874
GL866986.1,Chr6_supercontig_000002262,6,2268,259087172,3085528142
GL866987.1,Chr6_supercontig_000002263,6,2371,259089543,3085530513
GL866988.1,Chr6_supercontig_000002264,6,1606,259091149,3085532119
GL866989.1,Chr6_supercontig_000002265,6,2235,259093384,3085534354
GL866990.1,Chr6_supercontig_000002266,6,3655,259097039,3085538009
GL866991.1,Chr6_supercontig_000002267,6,2394,259099433,3085540403
GL866992.1,Chr6_supercontig_000002268,6,2077,259101510,3085542480
GL866993.1,Chr6_supercontig_000002269,6,2023,259103533,3085544503
GL866994.1,Chr6_supercontig_000002270,6,2649,259106182,3085547152
GL866995.1,Chr6_supercontig_000002271,6,4301,259110483,3085551453
GL866996.1,Chr6_supercontig_000002272,6,3995,259114478,3085555448
GL866997.1,Chr6_supercontig_000002273,6,1943,259116421,3085557391
GL866998.1,Chr6_supercontig_000002274,6,2670,259119091,3085560061
GL866999.1,Chr6_supercontig_000002275,6,2408,259121499,3085562469
GL867000.1,Chr6_supercontig_000002276,6,3404,259124903,3085565873
GL867001.1,Chr6_supercontig_000002277,6,1694,259126597,3085567567
GL867002.1,Chr6_supercontig_000002278,6,4410,259131007,3085571977
GL867003.1,Chr6_supercontig_000002279,6,1971,259132978,3085573948
GL867004.1,Chr6_supercontig_000002280,6,2355,259135333,3085576303
GL867005.1,Chr6_supercontig_000002281,6,1932,259137265,3085578235
GL867006.1,Chr6_supercontig_000002282,6,2647,259139912,3085580882
GL867007.1,Chr6_supercontig_000002283,6,2012,259141924,3085582894
GL867008.1,Chr6_supercontig_000002284,6,1665,259143589,3085584559
GL867009.1,Chr6_supercontig_000002285,6,1607,259145196,3085586166
GL867010.1,Chr6_supercontig_000002286,6,1564,259146760,3085587730
GL867011.1,Chr6_supercontig_000002287,6,2110,259148870,3085589840
GL867012.1,Chr6_supercontig_000002288,6,1682,259150552,3085591522
GL867013.1,Chr6_supercontig_000002289,6,1551,259152103,3085593073
GL867014.1,Chr6_supercontig_000002290,6,1921,259154024,3085594994
GL867015.1,Chr6_supercontig_000002291,6,1685,259155709,3085596679
GL867016.1,Chr6_supercontig_000002292,6,1816,259157525,3085598495
GL867017.1,Chr6_supercontig_000002293,6,1938,259159463,3085600433
GL867018.1,Chr6_supercontig_000002294,6,14874,259174337,3085615307
GL867019.1,Chr6_supercontig_000002295,6,2107,259176444,3085617414
GL867020.1,Chr6_supercontig_000002296,6,1669,259178113,3085619083
GL867021.1,Chr6_supercontig_000002297,6,3433,259181546,3085622516
GL867022.1,Chr6_supercontig_000002298,6,4131,259185677,3085626647
GL867023.1,Chr6_supercontig_000002299,6,2477,259188154,3085629124
GL867024.1,Chr6_supercontig_000002300,6,2672,259190826,3085631796
GL867025.1,Chr6_supercontig_000002301,6,2397,259193223,3085634193
GL867026.1,Chr6_supercontig_000002302,6,2244,259195467,3085636437
GL867027.1,Chr6_supercontig_000002303,6,2724,259198191,3085639161
GL867028.1,Chr6_supercontig_000002304,6,3028,259201219,3085642189
GL867029.1,Chr6_supercontig_000002305,6,2929,259204148,3085645118
GL867030.1,Chr6_supercontig_000002306,6,2337,259206485,3085647455
GL867031.1,Chr6_supercontig_000002307,6,2804,259209289,3085650259
GL867032.1,Chr6_supercontig_000002308,6,4700,259213989,3085654959
GL867033.1,Chr6_supercontig_000002309,6,1875,259215864,3085656834
GL867034.1,Chr6_supercontig_000002310,6,3023,259218887,3085659857
GL867035.1,Chr6_supercontig_000002311,6,1715,259220602,3085661572
GL867036.1,Chr6_supercontig_000002312,6,14025,259234627,3085675597
GL867037.1,Chr6_supercontig_000002313,6,2503,259237130,3085678100
GL867038.1,Chr6_supercontig_000002314,6,2106,259239236,3085680206
GL867039.1,Chr6_supercontig_000002315,6,3325,259242561,3085683531
GL867040.1,Chr6_supercontig_000002316,6,4356,259246917,3085687887
GL867041.1,Chr6_supercontig_000002317,6,3712,259250629,3085691599
GL867042.1,Chr6_supercontig_000002318,6,3421,259254050,3085695020
GL867043.1,Chr6_supercontig_000002319,6,3739,259257789,3085698759
GL867044.1,Chr6_supercontig_000002320,6,2987,259260776,3085701746
GL867045.1,Chr6_supercontig_000002321,6,1633,259262409,3085703379
GL867046.1,Chr6_supercontig_000002322,6,2426,259264835,3085705805
GL867047.1,Chr6_supercontig_000002323,6,5357,259270192,3085711162
GL867048.1,Chr6_supercontig_000002324,6,6462,259276654,3085717624
GL867049.1,Chr6_supercontig_000002325,6,1870,259278524,3085719494
GL867050.1,Chr6_supercontig_000002326,6,1582,259280106,3085721076
GL867051.1,Chr6_supercontig_000002327,6,1653,259281759,3085722729
GL867052.1,Chr6_supercontig_000002328,6,1858,259283617,3085724587
GL867053.1,Chr6_supercontig_000002329,6,5477,259289094,3085730064
GL867054.1,Chr6_supercontig_000002330,6,1855,259290949,3085731919
GL867055.1,Chr6_supercontig_000002331,6,1962,259292911,3085733881
GL867056.1,Chr6_supercontig_000002332,6,2639,259295550,3085736520
GL867057.1,Chr6_supercontig_000002333,6,3991,259299541,3085740511
GL867058.1,Chr6_supercontig_000002334,6,3083,259302624,3085743594
GL867059.1,Chr6_supercontig_000002335,6,8502,259311126,3085752096
GL867060.1,Chr6_supercontig_000002336,6,7613,259318739,3085759709
GL867061.1,Chr6_supercontig_000002337,6,1817,259320556,3085761526
GL867062.1,Chr6_supercontig_000002338,6,4052,259324608,3085765578
GL867063.1,Chr6_supercontig_000002339,6,4617,259329225,3085770195
GL867064.1,Chr6_supercontig_000002340,6,2256,259331481,3085772451
GL867065.1,Chr6_supercontig_000002341,6,1882,259333363,3085774333
GL867066.1,Chr6_supercontig_000002342,6,2106,259335469,3085776439
GL867067.1,Chr6_supercontig_000002343,6,1762,259337231,3085778201
GL867068.1,Chr6_supercontig_000002344,6,3014,259340245,3085781215
GL867069.1,Chr6_supercontig_000002345,6,7302,259347547,3085788517
GL867070.1,Chr6_supercontig_000002346,6,2305,259349852,3085790822
GL867071.1,Chr6_supercontig_000002347,6,5990,259355842,3085796812
GL867072.1,Chr6_supercontig_000002348,6,5316,259361158,3085802128
GL867073.1,Chr6_supercontig_000002349,6,2347,259363505,3085804475
GL867074.1,Chr6_supercontig_000002350,6,2478,259365983,3085806953
GL867075.1,Chr6_supercontig_000002351,6,4591,259370574,3085811544
GL867076.1,Chr6_supercontig_000002352,6,3902,259374476,3085815446
GL867077.1,Chr6_supercontig_000002353,6,1810,259376286,3085817256
GL867078.1,Chr6_supercontig_000002354,6,1618,259377904,3085818874
GL867079.1,Chr6_supercontig_000002355,6,2690,259380594,3085821564
GL867080.1,Chr6_supercontig_000002356,6,2250,259382844,3085823814
GL867081.1,Chr6_supercontig_000002357,6,1686,259384530,3085825500
GL867082.1,Chr6_supercontig_000002358,6,1764,259386294,3085827264
GL867083.1,Chr6_supercontig_000002359,6,1551,259387845,3085828815
GL867084.1,Chr6_supercontig_000002360,6,1667,259389512,3085830482
GL867085.1,Chr6_supercontig_000002361,6,1814,259391326,3085832296
GL867086.1,Chr6_supercontig_000002362,6,1666,259392992,3085833962
GL867087.1,Chr6_supercontig_000002363,6,1616,259394608,3085835578
GL867088.1,Chr6_supercontig_000002364,6,2398,259397006,3085837976
GL867089.1,Chr6_supercontig_000002365,6,1609,259398615,3085839585
GL867090.1,Chr6_supercontig_000002366,6,8533,259407148,3085848118
GL867091.1,Chr6_supercontig_000002367,6,1769,259408917,3085849887
GL867092.1,Chr6_supercontig_000002368,6,3508,259412425,3085853395
GL867093.1,Chr6_supercontig_000002369,6,2516,259414941,3085855911
GL867094.1,Chr6_supercontig_000002370,6,1765,259416706,3085857676
GL867095.1,Chr6_supercontig_000002371,6,2583,259419289,3085860259
GL867096.1,Chr6_supercontig_000002372,6,11207,259430496,3085871466
GL867097.1,Chr6_supercontig_000002373,6,2851,259433347,3085874317
GL867098.1,Chr6_supercontig_000002374,6,2447,259435794,3085876764
GL867099.1,Chr6_supercontig_000002375,6,1694,259437488,3085878458
GL867100.1,Chr6_supercontig_000002376,6,1568,259439056,3085880026
GL867101.1,Chr6_supercontig_000002377,6,2594,259441650,3085882620
GL867102.1,Chr6_supercontig_000002378,6,3117,259444767,3085885737
GL867103.1,Chr6_supercontig_000002379,6,2949,259447716,3085888686
GL867104.1,Chr6_supercontig_000002380,6,12405,259460121,3085901091
GL867105.1,Chr6_supercontig_000002381,6,2722,259462843,3085903813
GL867106.1,Chr6_supercontig_000002382,6,4344,259467187,3085908157
GL867107.1,Chr6_supercontig_000002383,6,2839,259470026,3085910996
GL867108.1,Chr6_supercontig_000002384,6,1756,259471782,3085912752
GL867109.1,Chr6_supercontig_000002385,6,1564,259473346,3085914316
GL867110.1,Chr6_supercontig_000002386,6,3915,259477261,3085918231
GL867111.1,Chr6_supercontig_000002387,6,3313,259480574,3085921544
GL867112.1,Chr6_supercontig_000002388,6,9653,259490227,3085931197
GL867113.1,Chr6_supercontig_000002389,6,5577,259495804,3085936774
GL867114.1,Chr6_supercontig_000002390,6,6342,259502146,3085943116
GL867115.1,Chr6_supercontig_000002391,6,1942,259504088,3085945058
GL867116.1,Chr6_supercontig_000002392,6,2381,259506469,3085947439
GL867117.1,Chr6_supercontig_000002393,6,4615,259511084,3085952054
GL867118.1,Chr6_supercontig_000002394,6,8785,259519869,3085960839
GL867119.1,Chr6_supercontig_000002395,6,3370,259523239,3085964209
GL867120.1,Chr6_supercontig_000002396,6,9438,259532677,3085973647
GL867121.1,Chr6_supercontig_000002397,6,3543,259536220,3085977190
GL867122.1,Chr6_supercontig_000002398,6,2112,259538332,3085979302
GL867123.1,Chr6_supercontig_000002399,6,5915,259544247,3085985217
GL867124.1,Chr6_supercontig_000002400,6,2900,259547147,3085988117
GL867125.1,Chr6_supercontig_000002401,6,1586,259548733,3085989703
GL867126.1,Chr6_supercontig_000002402,6,2546,259551279,3085992249
GL867127.1,Chr6_supercontig_000002403,6,2305,259553584,3085994554
GL867128.1,Chr6_supercontig_000002404,6,3975,259557559,3085998529
GL867129.1,Chr6_supercontig_000002405,6,2706,259560265,3086001235
GL867130.1,Chr6_supercontig_000002406,6,2899,259563164,3086004134
GL867131.1,Chr6_supercontig_000002407,6,1865,259565029,3086005999
GL867132.1,Chr6_supercontig_000002408,6,4491,259569520,3086010490
GL867133.1,Chr6_supercontig_000002409,6,2612,259572132,3086013102
GL867134.1,Chr6_supercontig_000002410,6,2970,259575102,3086016072
GL867135.1,Chr6_supercontig_000002411,6,1579,259576681,3086017651
GL867136.1,Chr6_supercontig_000002412,6,2088,259578769,3086019739
GL867137.1,Chr6_supercontig_000002413,6,1811,259580580,3086021550
GL867138.1,Chr6_supercontig_000002414,6,1840,259582420,3086023390
GL867139.1,Chr6_supercontig_000002415,6,2602,259585022,3086025992
GL867140.1,Chr6_supercontig_000002416,6,1633,259586655,3086027625
GL867141.1,Chr6_supercontig_000002417,6,2286,259588941,3086029911
GL867142.1,Chr6_supercontig_000002418,6,2248,259591189,3086032159
GL867143.1,Chr6_supercontig_000002419,6,1664,259592853,3086033823
GL867144.1,Chr6_supercontig_000002420,6,2142,259594995,3086035965
GL867145.1,Chr6_supercontig_000002421,6,2263,259597258,3086038228
GL867146.1,Chr6_supercontig_000002422,6,2860,259600118,3086041088
GL867147.1,Chr6_supercontig_000002423,6,2478,259602596,3086043566
GL867148.1,Chr6_supercontig_000002424,6,2915,259605511,3086046481
GL867149.1,Chr6_supercontig_000002425,6,2846,259608357,3086049327
GL867150.1,Chr6_supercontig_000002426,6,1810,259610167,3086051137
GL867151.1,Chr6_supercontig_000002427,6,2455,259612622,3086053592
GL867152.1,Chr6_supercontig_000002428,6,4257,259616879,3086057849
GL867153.1,Chr6_supercontig_000002429,6,3830,259620709,3086061679
GL867154.1,Chr6_supercontig_000002430,6,1939,259622648,3086063618
GL867155.1,Chr6_supercontig_000002431,6,3880,259626528,3086067498
GL867156.1,Chr6_supercontig_000002432,6,2985,259629513,3086070483
GL867157.1,Chr6_supercontig_000002433,6,2805,259632318,3086073288
GL867158.1,Chr6_supercontig_000002434,6,1883,259634201,3086075171
GL867159.1,Chr6_supercontig_000002435,6,1817,259636018,3086076988
GL867160.1,Chr6_supercontig_000002436,6,1535,259637553,3086078523
GL867161.1,Chr6_supercontig_000002437,6,1590,259639143,3086080113
GL867162.1,Chr6_supercontig_000002438,6,4399,259643542,3086084512
GL867163.1,Chr6_supercontig_000002439,6,2296,259645838,3086086808
GL867164.1,Chr6_supercontig_000002440,6,2934,259648772,3086089742
GL867165.1,Chr6_supercontig_000002441,6,2244,259651016,3086091986
GL867166.1,Chr6_supercontig_000002442,6,1884,259652900,3086093870
GL867167.1,Chr6_supercontig_000002443,6,1582,259654482,3086095452
GL867168.1,Chr6_supercontig_000002444,6,2138,259656620,3086097590
GL867169.1,Chr6_supercontig_000002445,6,2958,259659578,3086100548
GL867170.1,Chr6_supercontig_000002446,6,1785,259661363,3086102333
GL867171.1,Chr6_supercontig_000002447,6,2322,259663685,3086104655
GL867172.1,Chr6_supercontig_000002448,6,2657,259666342,3086107312
GL867173.1,Chr6_supercontig_000002449,6,2328,259668670,3086109640
GL867174.1,Chr6_supercontig_000002450,6,2433,259671103,3086112073
GL867175.1,Chr6_supercontig_000002451,6,2901,259674004,3086114974
GL867176.1,Chr6_supercontig_000002452,6,1781,259675785,3086116755
GL867177.1,Chr6_supercontig_000002453,6,1712,259677497,3086118467
GL867178.1,Chr6_supercontig_000002454,6,1990,259679487,3086120457
GL867179.1,Chr6_supercontig_000002455,6,2082,259681569,3086122539
GL867180.1,Chr6_supercontig_000002456,6,1553,259683122,3086124092
GL867181.1,Chr6_supercontig_000002457,6,1516,259684638,3086125608
GL867182.1,Chr6_supercontig_000002458,6,1770,259686408,3086127378
GL867183.1,Chr6_supercontig_000002459,6,2120,259688528,3086129498
GL867184.1,Chr6_supercontig_000002460,6,2034,259690562,3086131532
GL867185.1,Chr6_supercontig_000002461,6,1778,259692340,3086133310
GL867186.1,Chr6_supercontig_000002462,6,1853,259694193,3086135163
GL867187.1,Chr6_supercontig_000002463,6,1528,259695721,3086136691
GL867188.1,Chr6_supercontig_000002464,6,2375,259698096,3086139066
GL867189.1,Chr6_supercontig_000002465,6,1593,259699689,3086140659
GL867190.1,Chr6_supercontig_000002466,6,2468,259702157,3086143127
GL867191.1,Chr6_supercontig_000002467,6,1644,259703801,3086144771
GL867192.1,Chr6_supercontig_000002468,6,3383,259707184,3086148154
GL867193.1,Chr6_supercontig_000002469,6,2058,259709242,3086150212
GL867194.1,Chr6_supercontig_000002470,6,2140,259711382,3086152352
GL867195.1,Chr6_supercontig_000002471,6,2338,259713720,3086154690
GL867196.1,Chr6_supercontig_000002472,6,3006,259716726,3086157696
GL867197.1,Chr6_supercontig_000002473,6,2677,259719403,3086160373
GL867198.1,Chr6_supercontig_000002474,6,2638,259722041,3086163011
GL867199.1,Chr6_supercontig_000002475,6,1882,259723923,3086164893
GL867200.1,Chr6_supercontig_000002476,6,1504,259725427,3086166397
GL867201.1,Chr6_supercontig_000002477,6,2246,259727673,3086168643
GL867202.1,Chr6_supercontig_000002478,6,1668,259729341,3086170311
GL867203.1,Chr6_supercontig_000002479,6,1743,259731084,3086172054
GL867204.1,Chr6_supercontig_000002480,6,1835,259732919,3086173889
GL867205.1,Chr6_supercontig_000002481,6,1771,259734690,3086175660
GL867206.1,Chr6_supercontig_000002482,6,1563,259736253,3086177223
GL867207.1,Chr6_supercontig_000002483,6,1570,259737823,3086178793
GL867208.1,Chr6_supercontig_000002484,6,2281,259740104,3086181074
GL867209.1,Chr6_supercontig_000002485,6,3783,259743887,3086184857
